datetime,open,high,low,close,volume,hold
2026-03-06 15:00:00,9178.0,9248.0,9162.0,9218.0,153,378262
2026-03-09 11:15:00,9392.0,9788.0,9360.0,9788.0,3431,391045
2026-03-09 15:00:00,9788.0,9788.0,9570.0,9720.0,276561,385216
2026-03-10 11:15:00,9676.0,9746.0,9244.0,9418.0,105798,343384
2026-03-10 15:00:00,9416.0,9466.0,9372.0,9462.0,86142,338561
2026-03-11 11:15:00,9472.0,9512.0,9330.0,9490.0,75205,342099
2026-03-11 15:00:00,9490.0,9560.0,9478.0,9526.0,445,339423
2026-03-12 11:15:00,9658.0,9864.0,9576.0,9770.0,143786,348442
2026-03-12 15:00:00,9780.0,9806.0,9644.0,9684.0,33717,338598
2026-03-13 11:15:00,9714.0,9888.0,9656.0,9862.0,109303,358808
2026-03-13 15:00:00,9858.0,9876.0,9676.0,9768.0,12,340181
2026-03-16 11:15:00,9746.0,10040.0,9728.0,10028.0,123972,365885
2026-03-16 15:00:00,10028.0,10050.0,9952.0,10010.0,74900,359767
2026-03-17 11:15:00,9940.0,9978.0,9820.0,9912.0,26070,355410
2026-03-17 15:00:00,9914.0,9964.0,9858.0,9954.0,117144,360233
2026-03-18 11:15:00,9968.0,9990.0,9776.0,9778.0,3439,350912
2026-03-18 15:00:00,9780.0,9784.0,9672.0,9692.0,5988,332911
2026-03-19 11:15:00,9834.0,9902.0,9744.0,9786.0,28,330254
2026-03-19 15:00:00,9786.0,9808.0,9756.0,9796.0,7139,331103
2026-03-20 11:15:00,9790.0,9834.0,9646.0,9726.0,43969,322815
2026-03-20 15:00:00,9750.0,9788.0,9704.0,9718.0,29028,319474
2026-03-23 11:15:00,9732.0,9958.0,9652.0,9914.0,78546,324309
2026-03-23 15:00:00,9914.0,9956.0,9888.0,9942.0,39116,317782
2026-03-24 11:15:00,9690.0,9774.0,9532.0,9748.0,65840,293437
2026-03-24 15:00:00,9748.0,9772.0,9630.0,9644.0,75366,290411
2026-03-25 11:15:00,9652.0,9676.0,9466.0,9500.0,50037,286993
2026-03-25 15:00:00,9500.0,9570.0,9492.0,9510.0,54978,285120
2026-03-26 11:15:00,9528.0,9632.0,9482.0,9616.0,63683,283802
2026-03-26 15:00:00,9616.0,9640.0,9598.0,9614.0,25990,279944
2026-03-27 11:15:00,9660.0,9680.0,9582.0,9656.0,61299,276316
2026-03-27 15:00:00,9660.0,9768.0,9656.0,9768.0,77105,288419
2026-03-30 11:15:00,9808.0,9842.0,9668.0,9734.0,70135,268843
2026-03-30 15:00:00,9734.0,9974.0,9706.0,9930.0,23517,280169
2026-03-31 11:15:00,9950.0,10082.0,9834.0,9888.0,2981,256751
2026-03-31 15:00:00,9882.0,9900.0,9832.0,9866.0,37,245867
2026-04-01 11:15:00,10078.0,10166.0,9968.0,10044.0,43750,272478
2026-04-01 15:00:00,10044.0,10080.0,9824.0,9824.0,31852,263165
2026-04-02 11:15:00,9878.0,10018.0,9756.0,10012.0,156150,284133
2026-04-02 15:00:00,10012.0,10056.0,9986.0,10008.0,8413,288488
2026-04-03 11:15:00,10090.0,10106.0,9920.0,9966.0,11510,293073
2026-04-03 15:00:00,9966.0,10022.0,9938.0,9988.0,65303,292554
2026-04-07 11:15:00,10040.0,10042.0,9942.0,10028.0,112668,304361
2026-04-07 15:00:00,10028.0,10058.0,9964.0,9988.0,946,305845
2026-04-08 11:15:00,9968.0,9984.0,9516.0,9624.0,23280,306092
2026-04-08 15:00:00,9624.0,9630.0,9548.0,9568.0,8334,306147
2026-04-09 11:15:00,9530.0,9676.0,9512.0,9644.0,45270,320657
2026-04-09 15:00:00,9642.0,9672.0,9634.0,9650.0,476,320089
2026-04-10 11:15:00,9695.0,9751.0,9660.0,9673.0,54268,336102
2026-04-10 15:00:00,9673.0,9722.0,9621.0,9621.0,4072,338482
2026-04-13 11:15:00,9551.0,9667.0,9518.0,9634.0,26888,341363
2026-04-13 15:00:00,9634.0,9660.0,9546.0,9546.0,235,342280
2026-04-14 11:15:00,9558.0,9576.0,9412.0,9425.0,77684,357117
2026-04-14 15:00:00,9426.0,9456.0,9408.0,9433.0,25966,356965
2026-04-15 11:15:00,9416.0,9419.0,9306.0,9400.0,7686,375171
2026-04-15 15:00:00,9376.0,9429.0,9368.0,9411.0,3673,378447
2026-04-16 11:15:00,9420.0,9424.0,9325.0,9381.0,85738,391034
2026-04-16 15:00:00,9380.0,9415.0,9353.0,9402.0,220,392661
2026-04-17 11:15:00,9435.0,9500.0,9388.0,9472.0,75436,402261
2026-04-17 15:00:00,9472.0,9508.0,9411.0,9492.0,295,404382
2026-04-20 11:15:00,9306.0,9515.0,9259.0,9480.0,48017,422043
2026-04-20 15:00:00,9480.0,9506.0,9466.0,9486.0,2117,419147
2026-04-21 11:15:00,9481.0,9608.0,9434.0,9578.0,74304,448365
2026-04-21 15:00:00,9578.0,9793.0,9556.0,9730.0,6465,464353
2026-04-22 11:15:00,9719.0,9857.0,9696.0,9840.0,117252,487355
2026-04-22 15:00:00,9840.0,9855.0,9763.0,9822.0,374,481402
2026-04-23 11:15:00,9864.0,9884.0,9730.0,9828.0,23662,487821
2026-04-23 15:00:00,9829.0,9835.0,9766.0,9781.0,10297,470400
2026-04-24 11:15:00,9744.0,9855.0,9743.0,9762.0,94823,474145
2026-04-24 15:00:00,9762.0,9799.0,9711.0,9778.0,6464,470506
2026-04-27 11:15:00,9766.0,9900.0,9748.0,9833.0,70715,483821
2026-04-27 15:00:00,9833.0,9845.0,9784.0,9785.0,565,478722
2026-04-28 11:15:00,9767.0,9827.0,9674.0,9701.0,146988,470314
2026-04-28 15:00:00,9700.0,9773.0,9699.0,9759.0,424,463371
2026-04-29 11:15:00,9750.0,9772.0,9654.0,9725.0,87384,455745
2026-04-29 15:00:00,9725.0,9800.0,9718.0,9780.0,98280,457457
2026-04-30 11:15:00,9841.0,9856.0,9774.0,9841.0,66361,444321
2026-04-30 15:00:00,9842.0,9875.0,9821.0,9821.0,537,433102
2026-05-06 11:15:00,9887.0,9992.0,9871.0,9876.0,55432,453443
2026-05-06 15:00:00,9877.0,9879.0,9805.0,9864.0,102802,454956
2026-05-07 11:15:00,9750.0,9830.0,9676.0,9749.0,77827,470371
2026-05-07 15:00:00,9748.0,9776.0,9728.0,9752.0,64256,463838
2026-05-08 11:15:00,9664.0,9748.0,9638.0,9711.0,4161,473261
2026-05-08 15:00:00,9711.0,9711.0,9658.0,9680.0,2634,468976
2026-05-11 11:15:00,9642.0,9758.0,9632.0,9726.0,31312,466579
2026-05-11 15:00:00,9727.0,9732.0,9660.0,9682.0,304,466197
2026-05-12 11:15:00,9671.0,9701.0,9567.0,9568.0,8341,476789
2026-05-12 15:00:00,9558.0,9575.0,9521.0,9565.0,187,482994
2026-05-13 11:15:00,9577.0,9598.0,9514.0,9527.0,77791,480386
2026-05-13 15:00:00,9527.0,9540.0,9477.0,9492.0,10242,483004
2026-05-14 11:15:00,9517.0,9554.0,9442.0,9454.0,384,491423
2026-05-14 15:00:00,9455.0,9465.0,9405.0,9405.0,1272,493677
2026-05-15 11:15:00,9384.0,9472.0,9367.0,9451.0,3018,493426
2026-05-15 15:00:00,9450.0,9475.0,9414.0,9420.0,201,485650
2026-05-18 11:15:00,9425.0,9552.0,9380.0,9524.0,20329,501270
2026-05-18 15:00:00,9524.0,9594.0,9524.0,9576.0,86,501960
2026-05-19 11:15:00,9530.0,9582.0,9494.0,9554.0,37435,497800
2026-05-19 15:00:00,9555.0,9706.0,9524.0,9672.0,265623,504326
2026-05-20 11:15:00,9674.0,9683.0,9584.0,9615.0,74451,491582
